,is_free_shipping,product_name,start_price,end_price,is_prompt,start_time,end_time,timedelta,days_diff
0,0,Apple純正 AirPods 第2世代 右 イヤホン MV7N2J/A 右耳のみ 新品未使用品,7200,7200,1,2019-09-05 12:59:59,2019-09-05 15:30:16,0 days 02:30:17.000000000,0
1,1,送料無料 新品未使用未開封 Apple AirPods (エアーポッズ/第2世代) with Charging Case 2019年 国内正規品 MV7N2J/A 量販店納品書有,17000,18000,1,2019-09-04 13:34:25,2019-09-05 13:34:25,1 days 00:00:00.000000000,1
2,1,★送料無料★【新品 未開封】 Apple AirPods 　MV7N2J/A Air Pods with Charging Case 第2世代 完全ワイヤレスイヤホン Bluetooth ,1,18500,0,2019-09-02 12:31:25,2019-09-05 13:31:25,3 days 01:00:00.000000000,3
3,1,◎送料無料◎【新品 未開封】 Apple AirPods MRXJ2J/A AirPods with Wireless Charging Case 第2世代 Bluetooth 完全ワイヤレスイヤホン,1,1,0,2019-09-02 12:23:37,2019-09-05 13:23:37,3 days 01:00:00.000000000,3
4,0, 新品未開封 AirPods with Charging Case MV7N2J/A (第2世代),12000,16000,0,2019-09-02 10:38:22,2019-09-05 12:32:23,3 days 01:54:01.000000000,3
5,0,新品 目玉 ケース 【改良版】AirPods B-C5 軽量小型 AirPods第1世代と第2世代に対応 Apple AirPods,460,560,1,2019-09-04 01:00:25,2019-09-05 12:00:13,1 days 10:59:48.000000000,1
6,1,Apple AirPods with Charging Case(第2世代)Bluetooth ワイヤレスイヤホン MV7N2J/A 【新品未開封】,15000,15000,1,2019-09-05 08:41:44,2019-09-05 11:13:17,0 days 02:31:33.000000000,0
7,1,【送料無料】 Apple 純正品 AirPods 第2世代 MV7N2J/A 左のみ 新品,7100,7100,1,2019-09-04 12:49:06,2019-09-05 10:54:06,0 days 22:05:00.000000000,0
8,0,Apple純正 AirPods 第2世代 イヤホン MV7N2J/A 充電ケース＋lighteningケーブルのみ イヤホン無し 新品未使用品,7300,7300,1,2019-09-04 22:52:22,2019-09-05 04:49:52,0 days 05:57:30.000000000,0
9,1,送料無料　即決　新品　新製品 Apple アップル　第2世代　AirPods （エアポッド） with Charging Case　MV7N2J/A　ワイヤレスイヤホン,18500,18500,1,2019-09-04 13:04:50,2019-09-05 01:42:13,0 days 12:37:23.000000000,0
10,1,送料無料/おまけあり/第2世代/第二世代/2019/新型/新品未使用/正規品/左耳のみ/左のみ/左側のみ/Apple AirPods/エアーポッズ/アップル/る,7000,7000,1,2019-09-04 13:47:30,2019-09-04 23:19:48,0 days 09:32:18.000000000,0
11,1,Apple AirPods2 MV7N2J/A エアーポッズ 第2世代 ワイヤレスイヤホン 新品未開封,18000,18000,1,2019-09-04 12:40:36,2019-09-04 22:34:02,0 days 09:53:26.000000000,0
12,0,Apple純正 AirPods 第2世代 イヤホン MV7N2J/A 充電ケース＋lighteningケーブルのみ イヤホン無し 新品未使用品,7300,7300,1,2019-09-04 05:27:23,2019-09-04 15:47:54,0 days 10:20:31.000000000,0
13,1,【送料無料】【新品未使用品】第２世代Apple純正 airpods右のみR 国内正規品 右耳,7300,7300,1,2019-09-02 22:45:03,2019-09-04 15:08:15,1 days 16:23:12.000000000,1
14,1,[新品未使用品]AirPods with Wireless Charging Case (エアーポッズ/第2世代) 2019年 新型 【純正】 [ワイヤレス(左右分離) /Bluetooth],1,24000,1,2019-09-01 13:28:44,2019-09-04 12:28:43,2 days 22:59:59.000000000,2
15,1,Apple AirPods2 MV7N2J/A エアーポッズ 第2世代 ワイヤレスイヤホン 新品未開封,18000,18000,1,2019-09-01 23:06:46,2019-09-04 12:06:21,2 days 12:59:35.000000000,2
16,1,[新品未使用品]AirPods (エアーポッズ/第2世代) with Charging Case 2019年 新型 MV7N2J/A 【純正】 Bluetooth,1,19000,1,2019-09-01 11:04:38,2019-09-04 12:04:38,3 days 01:00:00.000000000,3
17,1,[新品未使用品]AirPods (エアーポッズ/第2世代) with Charging Case 2019年 新型 Bluetooth MV7N2J/A 【純正】 ,1,19500,1,2019-09-01 11:01:56,2019-09-04 12:01:56,3 days 01:00:00.000000000,3
18,0,1個売り　新品　AirPods 　エアポッズ　第2世代　2019年7月27日購入 新型 Bluetooth MV7N2J/A　未使用　未開封品　レシート付き,17000,17000,0,2019-09-01 02:01:15,2019-09-04 12:00:38,3 days 09:59:23.000000000,3
19,1,☆新品☆ アップル Apple AirPods with Charging Case MV7N2J/A 第２世代 ワイヤレスイヤホン 送料無料！,9800,17510,0,2019-09-02 05:02:45,2019-09-04 11:53:34,2 days 06:50:49.000000000,2
20,0,Apple 純正 AirPods　第2世代　新品　MV7N2J/A イヤホンのみ 両耳セット 充電ケースケーブル無し,13500,13500,1,2019-09-02 13:59:59,2019-09-04 09:48:07,1 days 19:48:08.000000000,1
21,1,【送料無料】 apple 純正品 AirPods 第2世代 MV7N2J/A 左のみ 新品,7100,7100,1,2019-09-01 02:51:17,2019-09-04 08:27:44,3 days 05:36:27.000000000,3
22,0,Apple純正 AirPods 第2世代 イヤホン MV7N2J/A 充電ケース＋lighteningケーブルのみ イヤホン無し 新品未使用品,7300,7300,1,2019-09-02 13:37:19,2019-09-04 04:18:34,1 days 14:41:15.000000000,1
23,1,[新品未使用品]AirPods (エアーポッズ/第2世代) with Charging Case 2019年 新型 MV7N2J/A 【純正】 [ワイヤレス(左右分離) /Bluetooth],1,19000,1,2019-09-01 12:18:53,2019-09-04 04:18:02,2 days 15:59:09.000000000,2
24,1,【送料無料】【新品未使用品】第２世代Apple airpods 両耳セット 国内正規品 MV7N2J/A,14000,14000,1,2019-09-01 23:12:27,2019-09-04 00:16:51,2 days 01:04:24.000000000,2
25,0,Apple純正 AirPods 第2世代 右 イヤホン MV7N2J/A 右耳のみ 新品未使用品,7200,7200,1,2019-09-02 07:55:26,2019-09-04 00:16:12,1 days 16:20:46.000000000,1
26,0,【1円～】AirPods with Charging Case 第2世代 MV7N2J/A Apple 【新品未開封】,1,17500,1,2019-09-02 14:17:32,2019-09-03 15:58:29,1 days 01:40:57.000000000,1
27,0,新品未開封 Apple AirPods with Wireless Charging Case 第2世代 ,5000,21500,0,2019-09-01 12:58:08,2019-09-03 13:13:08,2 days 00:15:00.000000000,2
28,1,★新品未開封 送料無料★ APPLE 正規品 AirPods (第2世代) with Charging Case ワイヤレスイヤホン MV7N2J/A新型,1000,19600,1,2019-08-31 21:59:02,2019-09-03 12:59:02,2 days 15:00:00.000000000,2
29,1,【新品未開封】Apple MRXJ2J/A AirPods 第2世代正規品,20000,20000,0,2019-08-31 12:36:37,2019-09-03 12:36:37,3 days 00:00:00.000000000,3
30,0,新品　未使用　エアポッズ　第2世代　2019年8月1日購入 新型 Bluetooth MV7N2J/A　AirPods with Charging Case　未開封品,17000,17000,0,2019-08-30 01:20:59,2019-09-03 12:19:38,4 days 10:58:39.000000000,4
31,0,新品 未使用 未開封 第２世代 AirPods with Wireless Charging ワイヤレス充電 MRXJ2J/A 格安 即決あり,19000,21800,1,2019-09-01 15:10:29,2019-09-03 12:10:29,1 days 21:00:00.000000000,1
32,1,★送料無料 新品未開封★ APPLE 正規品 AirPods (第2世代) with Charging Case ワイヤレスイヤホン MV7N2J/A新型,1000,19600,1,2019-08-31 22:02:00,2019-09-03 12:02:00,2 days 14:00:00.000000000,2
33,1,[新品未使用品]AirPods with Wireless Charging Case (エアーポッズ/第2世代) 2019年 新型 ブルートゥースイヤホン 【純正】Bluetooth,1,24000,1,2019-09-01 13:37:05,2019-09-03 09:34:08,1 days 19:57:03.000000000,1
34,1,送料無料 新品未使用未開封 Apple AirPods (エアーポッズ/第2世代) with Charging Case 2019年 国内正規品 MV7N2J/A 量販店納品書有,17000,18000,1,2019-09-02 01:01:16,2019-09-02 14:01:16,0 days 13:00:00.000000000,0
35,0,Apple純正 AirPods 第2世代 イヤホン MV7N2J/A 充電ケース＋lighteningケーブルのみ イヤホン無し 新品未使用品,7300,7300,1,2019-09-01 14:35:01,2019-09-02 13:00:51,0 days 22:25:50.000000000,0
36,0,【新品未開封】Apple AirPods2 MV7N2J/A アップル エアーポッズ 第2世代 ワイヤレスイヤホン,15000,17000,0,2019-08-30 13:41:43,2019-09-02 12:41:43,2 days 23:00:00.000000000,2
37,0,Apple純正 AirPods 第2世代 左 イヤホン MV7N2J/A 左耳のみ 新品未使用品,7200,7200,1,2019-09-02 03:40:53,2019-09-02 07:04:15,0 days 03:23:22.000000000,0
38,0,Apple純正 AirPods 第2世代 右 イヤホン MV7N2J/A 右耳のみ 新品未使用品,7200,7200,1,2019-08-31 13:32:08,2019-09-02 04:16:24,1 days 14:44:16.000000000,1
39,0,Apple純正 AirPods 第2世代 左 イヤホン MV7N2J/A 左耳のみ 新品未使用品,7200,7200,1,2019-08-31 13:32:47,2019-09-02 02:11:24,1 days 12:38:37.000000000,1
40,1,Apple AirPods2 MV7N2J/A エアーポッズ 第2世代 ワイヤレスイヤホン 新品未開封,18000,18000,1,2019-09-01 10:47:32,2019-09-01 15:34:33,0 days 04:47:01.000000000,0
41,0,Apple純正 AirPods 第2世代 イヤホン MV7N2J/A 充電ケースのみ 新品未使用品,7000,7000,1,2019-08-31 13:33:08,2019-09-01 14:32:24,1 days 00:59:16.000000000,1
42,1,【送料無料】【新品未使用品】第２世代Apple airpods 両耳セット 国内正規品 MV7N2J/A,14000,14000,1,2019-08-30 00:16:35,2019-09-01 14:08:30,2 days 13:51:55.000000000,2
43,0,Apple純正 AirPods 第2世代 イヤホン MV7N2J/A 充電ケース＋lighteningケーブルのみ イヤホン無し 新品未使用品,7300,7300,1,2019-08-31 10:56:46,2019-09-01 13:53:24,1 days 02:56:38.000000000,1
44,1,[新品未使用品]AirPods with Wireless Charging Case (エアーポッズ/第2世代) 2019年 新型 ブルートゥースイヤホン 【純正】Bluetooth,1,24000,1,2019-08-28 15:56:54,2019-09-01 12:56:54,3 days 21:00:00.000000000,3
45,1,[新品未使用品]AirPods with Wireless Charging Case (エアーポッズ/第2世代) 2019年 新型 【純正】 [ワイヤレス(左右分離) /Bluetooth],1,24000,1,2019-08-28 15:53:16,2019-09-01 12:53:15,3 days 20:59:59.000000000,3
46,1,日曜ヤフオクくじ対応送料無料　新品未開封アップルApple AirPods with charging case MV7N2J/A （第2世代）アップル　イヤホン,100,18050,0,2019-08-28 00:35:35,2019-09-01 12:35:34,4 days 11:59:59.000000000,4
47,1,[新品未使用品]AirPods (エアーポッズ/第2世代) with Charging Case 2019年 新型 MV7N2J/A 【純正】 [ワイヤレス(左右分離) /Bluetooth],1,19000,1,2019-08-28 16:01:57,2019-09-01 12:01:56,3 days 19:59:59.000000000,3
48,1,Apple AirPods2 MV7N2J/A エアーポッズ 第2世代 ワイヤレスイヤホン 新品未開封,18000,18000,1,2019-09-01 02:10:50,2019-09-01 09:45:16,0 days 07:34:26.000000000,0
49,1,第2世代モデル AirPods with Wireless Charging Case MRXJ2J/A 新品未開封,1,22800,1,2019-08-29 01:41:06,2019-09-01 09:04:49,3 days 07:23:43.000000000,3
50,1,Apple AirPods2 MV7N2J/A エアーポッズ 第2世代 ワイヤレスイヤホン 新品未開封,18000,18000,1,2019-08-30 13:58:38,2019-09-01 01:40:56,1 days 11:42:18.000000000,1
51,0,新品 未使用 未開封 第２世代 AirPods with Wireless Charging ワイヤレス充電 MRXJ2J/A 格安 即決あり,19000,21800,1,2019-08-31 13:41:26,2019-08-31 16:29:07,0 days 02:47:41.000000000,0
52,0,k161*80【新品未開封】Apple Airpods 第2世代 with charging case MV7N2J/A ワイヤレスイヤホン,15200,15200,0,2019-08-29 15:29:39,2019-08-31 15:29:39,2 days 00:00:00.000000000,2
53,1,送料無料/おまけあり/第2世代/第二世代/2019/新型/新品未使用/正規品/左耳のみ/左のみ/左側のみ/Apple AirPods/エアーポッズ/アップル/も,7000,7000,1,2019-08-31 13:22:12,2019-08-31 14:14:58,0 days 00:52:46.000000000,0
54,0,◆新品未開封【Sランク】Apple AirPods with Wireless Charging Case 第2世代 MRXJ2J/A KOU-322,1,20000,0,2019-08-26 05:45:20,2019-08-31 13:45:20,5 days 08:00:00.000000000,5
55,0,◆新品未開封【Sランク】Apple AirPods with Wireless Charging Case 第2世代 MRXJ2J/A KOU-328,1,20000,0,2019-08-26 02:40:10,2019-08-31 13:40:10,5 days 11:00:00.000000000,5
56,1,【新品未開封】 Apple 純正 AirPods エアーポッズ with Charging Case 第2世代 2019年 MV7N2J/A アップル ワイヤレスイヤホン 送料無料,17000,19500,1,2019-08-29 09:06:53,2019-08-31 12:59:52,2 days 03:52:59.000000000,2
57,1,[新品未使用品]AirPods (エアーポッズ/第2世代) with Charging Case 2019年 新型 Bluetooth MV7N2J/A 【純正】 ,1,19500,1,2019-08-27 15:52:53,2019-08-31 12:52:53,3 days 21:00:00.000000000,3
58,1,[新品未使用品]AirPods (エアーポッズ/第2世代) with Charging Case 2019年 新型 MV7N2J/A 【純正】 Bluetooth,1,19000,1,2019-08-27 15:37:02,2019-08-31 12:37:02,3 days 21:00:00.000000000,3
59,0,111F324 新品未開封 Apple AirPods2 MV7N2J/A アップル エアーポッズ 第2世代 ワイヤレスイヤホン,8000,17200,0,2019-08-27 16:09:49,2019-08-31 12:09:49,3 days 20:00:00.000000000,3
60,0,1個売り　新品　AirPods 　エアポッズ　第2世代　2019年7月27日購入 新型 Bluetooth MV7N2J/A　未使用　未開封品　レシート付き,17000,17000,0,2019-08-26 02:07:55,2019-08-31 12:07:39,5 days 09:59:44.000000000,5
61,1,送料無料/おまけあり/第2世代/第二世代/2019/新型/新品未使用/正規品/右耳のみ/右のみ/右側のみ/Apple AirPods/エアーポッズ/アップル/も,7000,7000,1,2019-08-30 13:21:47,2019-08-31 10:53:16,0 days 21:31:29.000000000,0
62,1,送料込み新品未開封品AirPods Wireless Charging Case付き 第2世代 エアポッズ Apple ワイヤレスイヤホン,21000,21000,1,2019-08-30 12:44:02,2019-08-31 07:49:43,0 days 19:05:41.000000000,0
63,0,Apple純正 AirPods 第2世代 イヤホン MV7N2J/A 充電ケース＋lighteningケーブルのみ イヤホン無し 新品未使用品,7300,7300,1,2019-08-29 05:59:04,2019-08-31 07:29:09,2 days 01:30:05.000000000,2
64,1,★新品★AirPods (エアーポッズ/第2世代) with Charging Case 2019年 国内正規品 MV7N2J/A★送料無料,18500,18500,1,2019-08-30 13:28:51,2019-08-30 16:24:26,0 days 02:55:35.000000000,0
65,1,新品・国内正規★AirPods (エアーポッズ/第2世代) with Charging Case 2019年 MV7N2J/A★送料無料,18400,18400,1,2019-08-30 12:59:29,2019-08-30 15:34:51,0 days 02:35:22.000000000,0
66,1,Apple AirPods2 MV7N2J/A エアーポッズ 第2世代 ワイヤレスイヤホン 新品未開封,18000,18000,1,2019-08-28 12:10:02,2019-08-30 13:25:48,2 days 01:15:46.000000000,2
67,0,新品 未開封 第2世代 第二世代 Apple AirPods　with Charging Case MV7N2J/A,16500,18000,1,2019-08-25 12:14:52,2019-08-30 13:14:52,5 days 01:00:00.000000000,5
68,1,【送料無料/新品未開封】 Apple AirPods with Wireless Charging Case 第2世代 MRXJ2J/A,19500,20000,1,2019-08-30 01:22:18,2019-08-30 12:22:24,0 days 11:00:06.000000000,0
69,0,【1円～】AirPods with Charging Case 第2世代 MV7N2J/A Apple 【新品未開封】,1,17500,1,2019-08-26 20:34:09,2019-08-30 05:04:59,3 days 08:30:50.000000000,3
70,0,Apple純正 AirPods 第2世代 右 イヤホン MV7N2J/A 右耳のみ 新品未使用品,7200,7200,1,2019-08-28 12:51:49,2019-08-29 22:25:47,1 days 09:33:58.000000000,1
71,1,★送料無料★新品未使用品 エアーポッズ AirPods Apple MMEF2J/A 第2世代,17000,18500,1,2019-08-25 12:26:55,2019-08-29 12:26:55,4 days 00:00:00.000000000,4
72,0,新品未開封品 Apple AirPods with Wireless Charging Cace（最新モデル） ワイヤレス充電ケース付属 第2世代 定価24624円（税込）,20000,20000,0,2019-08-28 12:12:15,2019-08-29 12:10:40,0 days 23:58:25.000000000,0
73,1,新品・国内正規★AirPods (エアーポッズ/第2世代) with Charging Case 2019年 MV7N2J/A★送料無料,18000,18000,1,2019-08-28 01:41:15,2019-08-29 10:37:17,1 days 08:56:02.000000000,1
74,0,☆☆新品 大人気☆☆ Apple L-park J-N6 AirPods ケース 第2世代 カバー シリコン 保護 iPhone XS/iPhone XS Max/iPhone XR/iPhone X,100,200,1,2019-08-28 01:04:19,2019-08-29 09:03:54,1 days 07:59:35.000000000,1
75,0,Apple純正 AirPods 第2世代 イヤホン MV7N2J/A 充電ケース＋lighteningケーブルのみ イヤホン無し 新品未使用品,7300,7300,1,2019-08-28 06:32:52,2019-08-29 04:57:51,0 days 22:24:59.000000000,0
76,1,【送料無料】 apple 純正品 AirPods 第2世代 MV7N2J/A 充電ケースのみ 新品,6800,6800,1,2019-08-26 11:06:40,2019-08-29 03:55:14,2 days 16:48:34.000000000,2
77,0,☆新品 未開封品 第2世代 Apple アップル AirPods with Charging Case MV7N2J/A ワイヤレス イヤホン,15000,16000,0,2019-08-26 05:26:35,2019-08-28 13:24:39,2 days 07:58:04.000000000,2
78,1,[新品未使用品]AirPods with Wireless Charging Case (エアーポッズ/第2世代) 2019年 新型 ブルートゥースイヤホン 【純正】Bluetooth,1,24000,1,2019-08-25 03:59:36,2019-08-28 12:59:36,3 days 09:00:00.000000000,3
79,1,[送料無料][新品未開封][保証あり]Apple Wireless Charging Case for AirPods (第2世代) アップル エアーポッズ ワイヤレス充電 MR8U2J/A,8890,9990,1,2019-08-27 12:31:02,2019-08-28 12:31:02,1 days 00:00:00.000000000,1
80,1,【送料無料】【新品未使用品】第２世代Apple airpods 両耳セット 国内正規品 MV7N2J/A,14000,14000,1,2019-08-26 21:28:08,2019-08-28 11:23:46,1 days 13:55:38.000000000,1
81,0,[新品未使用品]AirPods (エアーポッズ/第2世代) with Charging Case 2019年 新型 Apple 純正品,17000,17500,1,2019-08-27 10:00:17,2019-08-28 11:10:10,1 days 01:09:53.000000000,1
82,1,送料無料/おまけあり/第2世代/第二世代/2019/新型/新品未使用/正規品/右耳のみ/右のみ/右側のみ/Apple AirPods/エアーポッズ/アップル/O,7000,7000,1,2019-08-27 13:36:07,2019-08-28 08:39:23,0 days 19:03:16.000000000,0
83,1,送料無料　第2世代　Apple AirPods　MV7N2J/A　新品,17777,17777,1,2019-08-28 08:16:28,2019-08-28 08:22:52,0 days 00:06:24.000000000,0
84,1,送料無料　第2世代　Apple AirPods　MV7N2J/A　新品,17777,17777,1,2019-08-27 12:13:05,2019-08-28 08:15:15,0 days 20:02:10.000000000,0
85,0,Apple純正 AirPods 第2世代 イヤホン MV7N2J/A 充電ケース＋lighteningケーブルのみ イヤホン無し 新品未使用品,7300,7300,1,2019-08-27 03:45:42,2019-08-28 03:33:40,0 days 23:47:58.000000000,0
86,1,新品未使用品 Apple AirPods (エアーポッズ/第2世代) with Charging Case 2019年 新型 MV7N2J/A 純正 ワイヤレス /Bluetooth①,18800,18800,1,2019-08-25 12:14:15,2019-08-28 02:49:33,2 days 14:35:18.000000000,2
87,1,[新品未使用品]AirPods with Wireless Charging Case (エアーポッズ/第2世代) 2019年 新型 【純正】 [ワイヤレス(左右分離) /Bluetooth],1,24000,1,2019-08-27 15:52:40,2019-08-27 17:14:15,0 days 01:21:35.000000000,0
88,1,[新品未使用品]AirPods (エアーポッズ/第2世代) with Charging Case 2019年 新型 MV7N2J/A 【純正】 Bluetooth,1,19000,1,2019-08-25 13:27:14,2019-08-27 14:32:49,2 days 01:05:35.000000000,2
89,0,★ 新品未開封 第2世代AirPods With Charging Case★アップル エアーポッズ,5000,19800,1,2019-08-24 06:48:45,2019-08-27 13:48:45,3 days 07:00:00.000000000,3
90,1,[新品未使用品]AirPods (エアーポッズ/第2世代) with Charging Case 2019年 新型 MV7N2J/A 【純正】 Bluetooth,1,18000,0,2019-08-26 03:58:08,2019-08-27 12:58:08,1 days 09:00:00.000000000,1
91,1,[新品未使用品]AirPods (エアーポッズ/第2世代) with Charging Case 2019年 新型 Bluetooth MV7N2J/A 【純正】 ,1,19500,1,2019-08-24 06:34:16,2019-08-27 12:34:15,3 days 05:59:59.000000000,3
92,1,[新品未使用品]AirPods with Wireless Charging Case (エアーポッズ/第2世代) 2019年 新型 【純正】 [ワイヤレス(左右分離) /Bluetooth],1,24000,1,2019-08-24 06:33:45,2019-08-27 12:33:44,3 days 05:59:59.000000000,3
93,1,新品未開封アップルApple AirPods with charging case MV7N2J/A （第2世代）アップル　イヤホン,16500,17000,0,2019-08-26 14:08:50,2019-08-27 12:08:50,0 days 22:00:00.000000000,0
94,0,Apple(アップル) AirPods with Charging Case MV7N2J/A 第2世代 Bluetooth ワイヤレスイヤホン 本体 未開封新品 ,17600,17600,1,2019-08-27 10:42:44,2019-08-27 11:16:02,0 days 00:33:18.000000000,0
95,0,Apple純正 AirPods 第2世代 イヤホン MV7N2J/A 充電ケース＋lighteningケーブルのみ イヤホン無し 新品未使用品,7300,7300,1,2019-08-25 22:36:35,2019-08-27 03:31:42,1 days 04:55:07.000000000,1
96,0,☆★新品 未使用★☆ AirPods A-Focus L-3R AirPods第1世代と第2世代普通型用 （Blue12） 用 ダストガード エアーポッズ,119,219,1,2019-08-26 09:07:20,2019-08-26 23:13:22,0 days 14:06:02.000000000,0
97,1,送料無料 1円～ AirPods 第2世代 ワイヤレスイヤフォン 新品,1,18000,1,2019-08-26 12:30:25,2019-08-26 15:16:52,0 days 02:46:27.000000000,0
98,0,☆Airpods　エアポッズ　Apple　新品未開封　第2世代　MV7N2J/A　☆,15000,17000,0,2019-08-19 11:03:10,2019-08-26 14:26:35,7 days 03:23:25.000000000,7
99,1,[送料無料][新品未開封][保証あり]Apple AirPods with Charging Case (第2世代) アップル エアーポッズ 完全ワイヤレスイヤホン MV7N2J/A,18290,19890,1,2019-08-25 12:16:36,2019-08-26 12:16:36,1 days 00:00:00.000000000,1
